Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Cluster
Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2.0,0.0,41.9136,0
Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,731.94,3.0,0.0,219.582,0
Second Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,14.620000000000005,2.0,0.0,6.871400000000001,0
Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5.0,0.45000000000000007,28.770872676991154,0
Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.367999999999995,2.0,0.2,2.516400000000001,0
Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,48.860000000000014,7.0,0.0,14.1694,0
Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,7.280000000000001,4.0,0.0,1.9655999999999985,0
Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,907.152,6.0,0.2,90.7152,0
Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,18.50399999999999,3.0,0.2,5.782499999999999,0
Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,114.9,5.0,0.0,34.47,0
Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Tables,1706.1840000000002,9.0,0.2,85.3092,0
Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,911.4239999999999,4.0,0.2,68.3568,0
Standard Class,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,15.551999999999992,3.0,0.2,5.443200000000001,0
Standard Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,407.976,3.0,0.2,132.5922,0
Standard Class,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81000000000003,5.0,0.8,28.770872676991154,0
Standard Class,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,2.544000000000011,3.0,0.8,-3.8160000000000025,0
Standard Class,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6.0,0.0,13.3176,0
Second Class,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,55.5,2.0,0.0,9.990000000000002,0
Second Class,Consumer,United States,San Francisco,California,West,Office Supplies,Art,8.560000000000002,2.0,0.0,2.4823999999999984,0
Second Class,Consumer,United States,San Francisco,California,West,Technology,Phones,213.48,3.0,0.2,16.011,0
Second Class,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,22.72,4.0,0.2,7.384,0
Standard Class,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,19.460000000000008,7.0,0.0,5.0596,0
Standard Class,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34000000000003,7.0,0.0,15.6884,0
Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.37200000000001,2.0,0.3,-1.0196000000000005,0
Standard Class,Consumer,United States,Orem,Utah,West,Furniture,Tables,1044.63,3.0,0.0,240.2649,0
Second Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,11.647999999999996,2.0,0.2,4.2224,0
Second Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,90.57,3.0,0.0,11.7741,0
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7.0,0.5,28.770872676991154,1
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.617999999999995,2.0,0.7,-7.053199999999997,0
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3.0,0.2,15.525,0
